Shixiang,Yonghua,Ziyang,Sample
s3,s4,s3,...不觉得累，回到住处，[兴奋]得不想做饭，就下了点面...
s3,s3,s3,...画笔玩，看见颜料就很[兴奋]，这些都令父母欢欣不已...
s3,s3,s3,...帽镇华星村黄洪林格外[兴奋]：“太棒了，太棒了，积...
s3,s3,s3,...了解越来劲，越打听越[兴奋]！
s3,s3,s3,...公司董事长徐旭东一脸[兴奋]，“海外订单虽急，但我...
s3,s3,s3,...00元的补助。最让他[兴奋]的是，毕业后可“无缝对...
s3,s3,s3,...到访，温阿姨显得有些[兴奋]，赶忙找出凳子请来客坐...
s3,s1,s1,...赛的感觉，保持训练的[兴奋]度。
s3,s3,s3,...同时又为这意外收获而[兴奋]：“赤泥有望被消灭了！...
s3,s3,s3,...览、演出，还是很让人[兴奋]的！”……聆听悠扬的音...
s3,s3,s3,刘遵峰说，他最[兴奋]的就是心中的问号被“拉...
s3,s3,s3,...沾满液压油的脸上难掩[兴奋]。这个小伙名叫刘锦涛，...
s3,s3,s3,...技术负责人徐鹏祖很是[兴奋]。
s4,s4,s4,...到录取通知，在宿舍里[兴奋]得睡不着。
s3,s3,s3,...向腼腆的郑宗男显得很[兴奋]：“我们希望通过‘修旧...
s3,s3,s3,...可以重回河道，大家都[兴奋]极了。河道边的村民时常...
s3,s3,s3,...话，有点紧张，也有点[兴奋]。”杨林表示。在水下考...
s3,s3,s3,...，与看台上的观众分享[兴奋]的心情，已成为众多球员...
s3,s3,s3,...法转变为侦办大案，既[兴奋]又紧张。”谢有浩回忆，...
s4,s3,s3,...经办案件的谢有浩尤为[兴奋]，第一个冲进房间将犯罪...
s3,s3,s3,...聊起直播，顾畅畅有些[兴奋]。在她看来，直播的受众...
s3,s3,s3,...高楼出现在眼前，父亲[兴奋]起来，用手一指：“看，...
s3,s3,s3,...的标志。我感到新鲜而[兴奋]，对一切陌生又熟悉。彼...
s3,s1,s1,...用新环境刺激运动员的[兴奋]度，并通过6节压力管理...
s3,s3,s3,...两人一见如故，越谈越[兴奋]。高淑贞问：“你们用工...
s3,s3,s1,...企业面对智能制造大潮[兴奋]与徘徊交织的现状。
s1,s1,s1,...本按照“调整—启动—[兴奋]—高峰”的训练模式进行...
s3,s3,s3,...赞赏，孩子们既骄傲又[兴奋]，友谊的种子在心中悄悄...
s3,s3,s3,...羊产崽时，朱兴旺非常[兴奋]，一有时间就蹲在小羊旁...
s3,s3,s3,...企业负责人童俭丞格外[兴奋]，“像我们这样的电商企...
s3,s3,s3,想到这儿，郑德雄[兴奋]起来。他约上几位志同道...
s4,s4,s4,...毫无睡意，每个人都很[兴奋]，情不自禁地唱起了另一...
s4,s3,s4,“听到这个消息，[兴奋]得简直要跳起来了。”内...
s3,s3,s3,...方的辽阔使陈淑芳明显[兴奋]：一户人家，一百多亩地...
s3,s3,s3,...明显好转。这让安妮塔[兴奋]不已，她当年就回国结婚...
s3,s3,s3,“第一天很[兴奋]，和一起值守的郭路、胡品刚聊到很晚才睡。可是岛上只有三个人，再多的话也会聊完。[兴奋]劲儿一过，就觉得很枯燥...
s3,s3,s3,...证经理饶炜话语间难掩[兴奋]之情，“从开机实践来看...
s3,s3,s3,...得分的雀跃模样，李兵[兴奋]不已：原来孩子们如此热...
s4,s4,s4,...着各种新鲜事儿，常常[兴奋]得久久不能入睡。
s3,s3,s3,...放眼望去有好几公里。[兴奋]的游客们在等待渡轮过海...
s3,s3,s3,...那年13岁的郎佳子彧[兴奋]极了。16岁时，他被北...
s3,s3,s3,...洒在脸上和身上，心里[兴奋]得差点喊出来：我要领工...
s3,s3,s3,... 捧着这件红蟒，陈申[兴奋]不已，畅想着退休后穿着...
s3,s3,s3,...了“主播”，既紧张又[兴奋]。
s3,s3,s3,...会产生关联！”这让她[兴奋]不已。在传递火炬时奔跑...
s3,s3,s3,...练的指导下站上浪尖，[兴奋]的喊叫总是响彻这片沙滩...
s3,s3,s3,...，这些冰雪运动爱好者[兴奋]不已，有的在评论区为运...
s3,s3,s3,...党支部第一书记魏禹很[兴奋]。
s3,s3,s3,时已过午，[兴奋]的刘荫增决定即刻去现场...
s3,s3,s3,...他说：“这让我们倍感[兴奋]，也让我们可以更大胆地...
s3,s3,s3,...课题，能挑战难题令人[兴奋]，他想都没多想就答应了...
s3,s3,s3,...措湖上空，游客们特别[兴奋]，连连称赞西藏的美景，...
s3,s3,s1,...几架C—46飞机带着[兴奋]的轰鸣在蓝天盘旋。
s3,s3,s3,...过”“不知道”，他越[兴奋]：“我或许逮住了个新问...
s3,s3,s3,...起几个月前的情景依然[兴奋]，如今田里稻花飘香，微...
s4,s3,s4,...在手里，一遍遍摸着，[兴奋]不已。那年，他在山里也...
s3,s3,s3,...菜回来，一脸疲惫却又[兴奋]：“这趟挣了1万块！”
s3,s3,s3,...乘客登上列车时新奇和[兴奋]的表情，我感同身受，中...
s3,s3,s3,...样。”马文晓抑制不住[兴奋]，突然，他发现在照片的...
s4,s4,s4,...以靠近T3航站楼，他[兴奋]得几夜都睡不着。从沙河...
s3,s3,s1,...、思绪飞扬，数不清的[兴奋]点如深山夜空中的星星。...
s3,s1,s1,...，用新环境刺激运动员[兴奋]度，科研团队还精心制定...
s3,s3,s1,...色，培育吸引游客的“[兴奋]点”。从农业生产、农村...
s3,s3,s3,...方打仗比这苦得多。”申金玉生豆芽最热心。任务完成后，大家十分[兴奋]，伙房同志们更加团结，同时也更提高了工作热情。
